content,dataset,year,ministry,url,source_title
"Penduduk Malaysia pada 2023 dianggarkan 33.4 juta orang. Ini termasuk 30.4 juta warganegara Malaysia dan 3.0 juta bukan warganegara. Pecahan mengikut kumpulan etnik: Bumiputera 69.6%, Cina 22.6%, India 6.8%, lain-lain 1.0%.",Population Malaysia 2023,2023,Jabatan Perangkaan Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Demographic Statistics Malaysia
"Malaysia's population in 2023 is estimated at 33.4 million, comprising 30.4 million citizens and 3.0 million non-citizens. Ethnic composition: Bumiputera 69.6%, Chinese 22.6%, Indian 6.8%, others 1.0%.",Population Malaysia 2023,2023,Department of Statistics Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Demographic Statistics Malaysia
"Kadar fertiliti total (TFR) Malaysia 2023 ialah 1.6 kelahiran bagi setiap wanita, di bawah paras penggantian 2.1. Ini adalah rekod terendah dalam sejarah Malaysia. Negeri dengan TFR tertinggi ialah Sabah (2.4) dan Sarawak (2.2).",Fertility Rate Malaysia 2023,2023,Jabatan Perangkaan Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Vital Statistics Malaysia
"Malaysia's total fertility rate (TFR) in 2023 was 1.6 births per woman, below the replacement level of 2.1 — a historic low. States with highest TFR: Sabah (2.4) and Sarawak (2.2).",Fertility Rate Malaysia 2023,2023,Department of Statistics Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Vital Statistics Malaysia
"KDNK Malaysia 2023 mencecah RM1.79 trilion pada harga semasa, dengan pertumbuhan sebenar 3.7%. Sektor perkhidmatan menyumbang 58.6% kepada KDNK, diikuti pembuatan 22.5%, pembinaan 4.2%, pertanian 6.3% dan perlombongan 8.4%.",GDP Malaysia 2023,2023,Jabatan Perangkaan Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,National Accounts Malaysia
"Malaysia's GDP in 2023 reached RM1.79 trillion at current prices, with real growth of 3.7%. Services contributed 58.6% to GDP, followed by manufacturing 22.5%, construction 4.2%, agriculture 6.3%, and mining 8.4%.",GDP Malaysia 2023,2023,Department of Statistics Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,National Accounts Malaysia
"Indeks Harga Pengguna (CPI) Malaysia 2023 mencatat purata tahunan 2.5%. Kumpulan dengan kenaikan tertinggi: Makanan & Minuman Bukan Alkohol (4.2%), Perumahan & Utiliti (2.1%), dan Pengangkutan (1.8%). Sabah mencatat inflasi tertinggi di Malaysia pada 3.1%.",CPI Malaysia 2023,2023,Jabatan Perangkaan Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Consumer Price Index Malaysia
"Malaysia's Consumer Price Index (CPI) averaged 2.5% annual inflation in 2023. Highest increases: Food & Non-Alcoholic Beverages (4.2%), Housing & Utilities (2.1%), and Transport (1.8%). Sabah recorded the highest state inflation at 3.1%.",CPI Malaysia 2023,2023,Department of Statistics Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Consumer Price Index Malaysia
"Kadar pengangguran Malaysia pada 2023 ialah 3.4%, bersamaan 567,400 penganggur. Kadar pengangguran belia (15–24 tahun) ialah 11.8%. Kadar penyertaan tenaga buruh ialah 70.1% dengan jumlah guna tenaga 16.2 juta.",Labour Force Malaysia 2023,2023,Jabatan Perangkaan Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Labour Force Survey Malaysia
"Malaysia's unemployment rate in 2023 was 3.4%, equivalent to 567,400 unemployed persons. Youth unemployment (ages 15–24) stood at 11.8%. Labour force participation rate was 70.1% with total employment of 16.2 million.",Labour Force Malaysia 2023,2023,Department of Statistics Malaysia,https://www.dosm.gov.my/v2/index.php?r=column/cone&menu_id=dDM2enNvN0Rz,Labour Force Survey Malaysia
